卡斯帕尔·豪泽尔之谜,8.7
舞台春秋,8.7
莎乐美,8.7
让娜·迪尔曼,8.7
天伦之旅,8.7
大河之歌,8.7
五月的四天,8.7
大树之歌,8.7
灵犬莱西,8.7
真爱至上,8.6
记忆碎片,8.6
东邪西毒,8.6
被解救的姜戈,8.6
模仿游戏,8.6
花样年华,8.6
爆裂鼓手,8.6
奇迹男孩,8.6
海边的曼彻斯特,8.6
网络谜踪,8.6
英雄本色,8.6
人工智能,8.6
穿越时空的少女,8.6
战争之王,8.6
至暗时刻,8.6
撞车,8.6
海盗电台,8.6
血钻,8.6
遗愿清单,8.6
谁先爱上他的,8.6
荒野生存,8.6
非常嫌疑犯,8.6
卡萨布兰卡,8.6
叫我第一名,8.6
百万美元宝贝,8.6
大卫·戈尔的一生,8.6
廊桥遗梦,8.6
燕尾蝶,8.6
千年女优,8.6
万箭穿心,8.6
蝴蝶,8.6
不一样的天空,8.6
岁月的童话,8.6
如父如子,8.6
天水围的日与夜,8.6
狼的孩子雨和雪,8.6
费城故事,8.6
天伦之旅,8.6
布达佩斯之恋,8.6
公民凯恩,8.6
走出非洲,8.6
对她说,8.6
爱,8.6
安妮·霍尔,8.6
老爷车,8.6
幸福的拉扎罗,8.6
编舟记,8.6
我们天上见,8.6
花火,8.6
热天午后,8.6
地雷区,8.6
内布拉斯加,8.6
洛奇,8.6
德州巴黎,8.6
青之炎,8.6
小城之春,8.6
梦,8.6
东京塔,8.6
西部往事,8.6
想飞的钢琴少年,8.6
麻将,8.6
甘地传,8.6
焦土之城,8.6
宾虚,8.6
狐狸与我,8.6
光辉岁月,8.6
天狗,8.6
寂寞芳心,8.6
无主之地,8.6
伊万的童年,8.6
史崔特先生的故事,8.6
战舰波将金号,8.6
查令十字街84号,8.6
笑之大学,8.6
小公主,8.6
无主之作,8.6
彗星美人,8.6
霍金传,8.6
音乐会,8.6
虎豹小霸王,8.6
芭萨提的颜色,8.6
何处是我朋友的家,8.6
午宴之歌,8.6
敲开天堂的门,8.6
解构爱情狂,8.6
喜马拉雅,8.6
西线无战事,8.6
再见，孩子们,8.6
法外之徒,8.6
天堂陌影,8.6
流星语,8.6
北壁,8.6
远山的呼唤,8.6
母亲,8.6
热泪伤痕,8.6
曼联重生,8.6
隐藏的恋情,8.6
生活艰难但是快乐,8.6
大菩萨岭,8.6
五至七时的克莱奥,8.6
亨利四世：第二部分,8.6
一级谋杀,8.6
浮云,8.6
爵士春秋,8.6
樱花盛开,8.6
